TotalRevenue,TotalOrders,FirstPurchase,LastPurchase,RetentionPeriodDays,AverageOrderValue,RevenueSegment,RegionSegment,RetentionPeriodYears,PurchaseFrequency,CLTV
372.86,33,14-12-2009 08:34,28-06-2010 13:53,196,11.29878788,Medium,United Kingdom,0.536986301,61.45408163,373
1323.32,71,31-10-2010 14:20,07-12-2010 14:57,37,18.63830986,VIP,Iceland,0.101369863,700.4054054,1324
222.16,20,27-09-2010 14:59,27-09-2010 14:59,0,11.108,Medium,Finland,0,0,0
2671.14,102,29-04-2010 13:20,28-10-2010 08:23,181,26.18764706,VIP,Italy,0.495890411,205.6906077,2672
300.93,21,29-11-2010 15:23,29-11-2010 15:23,0,14.33,Medium,Unspecified,0,0,0
343.8,18,12-11-2010 10:20,29-11-2010 10:07,16,19.1,Medium,Norway,0.043835616,410.625,344
317.76,20,27-10-2010 12:44,27-10-2010 12:44,0,15.888,Medium,Bahrain,0,0,0
488.21,22,21-05-2010 11:59,21-05-2010 11:59,0,22.19136364,Medium,Bahrain,0,0,0
3560.3,83,11-10-2010 09:42,24-11-2010 12:24,44,42.89518072,VIP,Portugal,0.120547945,688.5227273,3561
12079.99,165,16-11-2010 10:05,16-11-2010 14:29,0,73.21206061,VIP,Switzerland,0,0,0
2719.01,58,08-12-2009 07:59,29-11-2010 10:56,356,46.87948276,VIP,Austria,0.975342466,59.46629213,2720
2563.36,117,05-12-2009 13:32,10-10-2010 11:16,308,21.90905983,VIP,Cyprus,0.843835616,138.6525974,2564
1590.83,88,22-02-2010 09:32,25-11-2010 11:04,276,18.07761364,VIP,Austria,0.756164384,116.3768116,1591
321.35,19,26-01-2010 14:37,03-09-2010 15:19,220,16.91315789,Medium,Belgium,0.602739726,31.52272727,322
130,1,01-12-2009 10:10,01-12-2009 10:10,0,130,Medium,Belgium,0,0,0
500.24,3,16-03-2010 10:28,16-03-2010 10:28,0,166.7466667,High,Cyprus,0,0,0
917.7,18,21-03-2010 15:56,21-03-2010 15:56,0,50.98333333,High,Cyprus,0,0,0
1791.15,93,08-03-2010 08:09,22-10-2010 13:13,228,19.25967742,VIP,Austria,0.624657534,148.8815789,1792
774.62,35,09-02-2010 09:41,25-03-2010 12:10,44,22.132,High,Austria,0.120547945,290.3409091,775
2179.42,104,04-03-2010 18:23,26-10-2010 13:37,235,20.95596154,VIP,Switzerland,0.643835616,161.5319149,2180
763.05,37,04-02-2010 12:08,25-03-2010 13:49,49,20.62297297,High,Austria,0.134246575,275.6122449,764
2246.29,50,30-04-2010 14:01,14-10-2010 13:31,166,44.9258,VIP,Austria,0.454794521,109.939759,2247
503.15,13,18-10-2010 08:42,15-11-2010 12:15,28,38.70384615,High,Switzerland,0.076712329,169.4642857,504
1798.2,75,29-04-2010 15:34,23-11-2010 19:24,208,23.976,VIP,Switzerland,0.569863014,131.6105769,1799
1407.7,82,26-05-2010 14:07,26-05-2010 14:07,0,17.16707317,VIP,Switzerland,0,0,0
767.98,41,23-06-2010 12:49,13-10-2010 14:46,112,18.73121951,High,Belgium,0.306849315,133.6160714,768
6951.49,173,15-02-2010 12:05,31-08-2010 14:54,197,40.18202312,VIP,Belgium,0.539726027,320.5329949,6952
1938.4,65,25-11-2010 15:14,25-11-2010 15:14,0,29.82153846,VIP,Belgium,0,0,0
258.9,8,08-12-2010 09:53,08-12-2010 09:53,0,32.3625,Medium,Australia,0,0,0
143.94,9,20-10-2010 16:27,20-10-2010 16:27,0,15.99333333,Medium,Australia,0,0,0
1120.45,46,06-05-2010 12:54,20-09-2010 12:41,136,24.3576087,VIP,Australia,0.37260274,123.4558824,1121
1433.33,49,22-02-2010 10:15,02-11-2010 11:52,253,29.25163265,VIP,Australia,0.693150685,70.6916996,1434
2285.18,174,15-02-2010 10:12,01-09-2010 12:38,198,13.13321839,VIP,Cyprus,0.542465753,320.7575758,2286
234.75,7,27-04-2010 14:04,27-04-2010 14:04,0,33.53571429,Medium,Australia,0,0,0
